순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,OBV데드 발생일자,OBV데드 경과일수,일봉 Chaikin 최근2봉,45m Chaikin 최근2봉,ADX +DI/-DI 우세방향,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 1위,004960,한신공영,7.0,71.0점,20.0,16.0,12.0,8.0,15.0,83.0,78.2점 (확정),N/A (정상상승),0일차,"[-8823, -3847]","[7390, 8412]",+DI: 32.9 / -DI: 19.2 (+DI우세),39.2,📈 OBV(9) 매집 유지 (상승),8412,1739,11092,11710.0,5.88,597.1,5.1,11710,10814,10810,유지,10810,OFF (조건미충족),10810,ON (상시감시),OFF (알림전용),13510,ON (상시감시),OFF (알림전용),19288988,20363690,1074702,5.57,100.0,🟢 확정 1위 (계속 보유/홀딩)
확정 4위,055490,테이팩스,21.5,91.0점,20.0,20.0,16.0,20.0,15.0,64.0,74.8점 (확정),N/A (정상상승),0일차,"[-23902, -20904]","[-3499, -4009]",+DI: 33.9 / -DI: 21.0 (+DI우세),45.8,📉 OBV(9) 데드크로스 (이탈),-4009,4283,23364,14500.0,-4.67,1183.6,8.16,14550,12725,12720,유지,12720,OFF (조건미충족),12720,ON (상시감시),OFF (알림전용),18050,ON (상시감시),OFF (알림전용),100068012,62103500,-37964512,-37.94,100.0,⚠️ 비중과다(21.5%) 집중위험 (추매금지/보유)
확정 6위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,66.0,58.4점 (확정),N/A (정상상승),0일차,"[-9670, -4327]","[2802, 3209]",+DI: 29.5 / -DI: 16.4 (+DI우세),22.2,📈 OBV(9) 매집 유지 (상승),3209,531,18899,10760.0,0.19,1032.0,9.59,10760,9212,9210,유지,9210,OFF (조건미충족),9210,ON (상시감시),OFF (알림전용),13860,ON (상시감시),OFF (알림전용),10035369,5713560,-4321809,-43.07,100.0,🟢 확정 6위 (계속 보유/홀딩)
ETF 2위,161510,PLUS 고배당주,2.2,ETF 제외,-,-,-,-,-,76.0,76.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[142513, 166762]","[-6485, -3091]",+DI: 11.4 / -DI: 22.1 (-DI우세),35.8,📈 OBV(9) 매집 유지 (상승),-3091,250,28186,25510.0,2.08,741.4,2.91,25510,24027,24000,유지,24350,OFF (조건미충족),24000,ON (상시감시),OFF (알림전용),27750,ON (상시감시),OFF (알림전용),7046500,6377500,-669000,-9.49,100.0,🟢 ETF 2위 (계속 보유/홀딩)
확정 2위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,63.0,77.8점 (확정),2026-08-12,3일차,"[-102102, -94961]","[-9268, -8996]",+DI: 26.7 / -DI: 20.7 (+DI우세),44.2,📈 OBV(9) 매집 유지 (상승),-8996,293,15716,8990.0,1.35,614.8,6.84,8990,8058,8060,⬆️ 상향갱신,8060,OFF (조건미충족),8060,ON (상시감시),OFF (알림전용),10840,ON (상시감시),OFF (알림전용),4604788,2634070,-1970718,-42.8,100.0,"🚨 매도 (ADX 방향 불일치, 참고) (일봉+45분봉 이중확인) (확정 2위)"
확정 7위,234920,자이글,17.1,27.0점,5.0,4.0,4.0,8.0,6.0,66.0,50.4점 (확정),N/A (정상상승),0일차,"[0, 0]","[0, 0]",+DI: 0.0 / -DI: 0.0 (+DI우세),0.0,데이터 대기,0,9314,7517,5310.0,0.0,5256.3,98.99,5310,4514,4510,유지,0,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),21100,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,🟢 확정 7위 (계속 보유/홀딩)
확정 5위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,66.0,73.2점 (확정),N/A (정상상승),0일차,"[-414303, -398713]","[-7361, -8179]",+DI: 25.9 / -DI: 24.0 (+DI우세),28.8,📉 OBV(9) 데드크로스 (이탈),-8179,115,17995,8440.0,0.48,970.9,11.5,8440,7174,7170,유지,6980,OFF (조건미충족),7170,ON (상시감시),OFF (알림전용),11360,ON (상시감시),OFF (알림전용),2069425,970600,-1098825,-53.1,100.0,🎯 분할매수 (확정 5위 / 45m 단기조정 감지)
확정 3위,267260,HD현대일렉트릭,1.1,92.0점,25.0,20.0,20.0,12.0,15.0,64.0,75.2점 (확정),N/A (정상상승),0일차,"[-72603, -67528]","[-6988, -7526]",+DI: 25.7 / -DI: 29.7 (-DI우세),35.9,📉 OBV(9) 데드크로스 (이탈),-7526,4,745000,782000.0,-0.38,61264.0,7.83,783000,691104,690000,유지,690000,OFF (조건미충족),690000,ON (상시감시),OFF (알림전용),966000,ON (상시감시),OFF (알림전용),2980000,3128000,148000,4.97,100.0,🟢 확정 3위 (계속 보유/홀딩)
잠정 1위,348340,뉴로메카,1.0,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,66.0,48.8점 (잠정·재무검증 필요),N/A (정상상승),0일차,"[-376965, -369482]","[31040, 33011]",+DI: 36.5 / -DI: 15.0 (+DI우세),52.1,📈 OBV(9) 매집 유지 (상승),33011,124,80329,24400.0,14.02,4584.3,18.79,24400,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,3025600,-6935196,-69.62,75.0,⚠️ DART 재무 미확정 (보류)
ETF 1위,490590,RISE 미국AI밸류체인데일리고정커버드콜,46.9,ETF 제외,-,-,-,-,-,80.0,80.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[124173, 188509]","[26674, 23306]",+DI: 42.3 / -DI: 28.9 (+DI우세),39.3,📈 OBV(9) 매집 유지 (상승),23306,9114,16458,14880.0,0.24,408.8,2.75,14880,14062,14060,유지,14260,OFF (조건미충족),14060,ON (상시감시),OFF (알림전용),16110,ON (상시감시),OFF (알림전용),149998212,135616320,-14381892,-9.59,100.0,⚠️ 비중과다(46.9%) 집중위험 (추매금지/보유)
